dn_id,dn_name,in_id,in_name,mn_id,mn_name,muscle,dn_in_synapses,in_mn_synapses,pathway_strength
720575941552726407,DNg99,720575941623108298,IN13A013,720575941643100754,ps1,ps1,37,182,6734
720575941552726407,DNg99,720575941623108298,IN13A013,720575941645041313,ps1,ps1,37,26,962
720575941552726407,DNg99,720575941623108298,IN13A013,720575941645041313,ps1,ps1,37,52,1924
720575941552726407,DNg99,720575941623108298,IN13A013,720575941645041313,ps1,ps1,37,47,1739
720575941552907838,DNp45,720575941450532174,IN11A001,720575941475745898,i2,i2,25,49,1225
720575941552907838,DNp45,720575941450532174,IN11A001,720575941475745898,i2,i2,25,100,2500
720575941552907838,DNp45,720575941542469212,IN08B006,720575941645041313,ps1,ps1,26,38,988
720575941560503155,DNp73,720575941457147206,IN18B020,720575941513173763,hg4,hg4,27,66,1782
720575941560503155,DNp73,720575941457147206,IN18B020,720575941516770670,iii4,iii4,27,32,864
720575941560503155,DNp73,720575941457147206,IN18B020,720575941549822781,b1,b1,27,25,675
720575941560503155,DNp73,720575941457147206,IN18B020,720575941580669817,hg1,hg1,27,40,1080
720575941560503155,DNp73,720575941572251144,w-cHIN,720575941549822781,b1,b1,26,25,650
720575941560503155,DNp73,720575941723242042,IN14B007,720575941459347411,iii4,iii4,79,42,3318
720575941562059176,DNg82,720575941503451301,w-cHIN,720575941624155644,b2,b2,27,44,1188
720575941563218944,DNxn122,720575941608991050,w-cHIN,720575941521196211,b1,b1,32,31,992
720575941563218944,DNxn122,720575941608991050,w-cHIN,720575941624155644,b2,b2,32,29,928
720575941566309174,DNp26,720575941608991050,w-cHIN,720575941521196211,b1,b1,33,31,1023
720575941566309174,DNp26,720575941608991050,w-cHIN,720575941624155644,b2,b2,33,29,957
720575941566556775,DNxn159,720575941615272601,IN06B028,720575941547394081,i2,i2,29,26,754
