dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941552142727,DNa03,False,0.0,0.0,True,2,4,23,indirect_only,23.0
720575941411472555,DNb09,False,0.0,0.0,True,1,2,22,indirect_only,22.0
720575941431097737,DNxl130,True,1.0,10.0,True,1,2,12,both,22.0
720575941598693824,DNp17,False,0.0,0.0,True,1,1,22,indirect_only,22.0
720575941468862583,DNxn117,False,0.0,0.0,True,2,7,22,indirect_only,22.0
720575941441643867,DNg02,True,1.0,12.0,True,1,2,10,both,22.0
720575941632594592,DNa07,True,1.0,22.0,False,0,0,0,direct_only,22.0
720575941599049152,DNut042,False,0.0,0.0,True,2,3,22,indirect_only,22.0
720575941537583336,DNp54,False,0.0,0.0,True,2,5,22,indirect_only,22.0
720575941626256266,DNxl115,False,0.0,0.0,True,1,1,22,indirect_only,22.0
720575941439143954,DNg08,False,0.0,0.0,True,2,3,22,indirect_only,22.0
720575941407841071,DNp07,False,0.0,0.0,True,2,3,21,indirect_only,21.0
720575941561392173,DNg39,False,0.0,0.0,True,1,1,21,indirect_only,21.0
720575941480799395,DNg105,False,0.0,0.0,True,2,4,21,indirect_only,21.0
720575941572713886,DNg97,False,0.0,0.0,True,1,1,21,indirect_only,21.0
720575941610917037,DNxl113,False,0.0,0.0,True,1,1,21,indirect_only,21.0
720575941526723609,DNnt012,False,0.0,0.0,True,1,2,21,indirect_only,21.0
720575941433415200,DNp60,True,1.0,20.0,False,0,0,0,direct_only,20.0
720575941624816124,DNg08,False,0.0,0.0,True,2,3,20,indirect_only,20.0
720575941700316378,DNg02,True,2.0,20.0,False,0,0,0,direct_only,20.0
720575941549506932,DNb03,False,0.0,0.0,True,1,1,20,indirect_only,20.0
720575941480954019,DNxn187,False,0.0,0.0,True,1,1,20,indirect_only,20.0
720575941470584695,DNp53,False,0.0,0.0,True,1,2,20,indirect_only,20.0
720575941632059372,DNge006,False,0.0,0.0,True,1,1,20,indirect_only,20.0
720575941480780451,DNg50,True,1.0,20.0,False,0,0,0,direct_only,20.0
720575941550196797,DNxl082,True,1.0,20.0,False,0,0,0,direct_only,20.0
720575941449527477,DNge131,False,0.0,0.0,True,1,1,20,indirect_only,20.0
720575941461320644,DNpe054,False,0.0,0.0,True,1,2,19,indirect_only,19.0
720575941579616081,DNp16,False,0.0,0.0,True,1,2,19,indirect_only,19.0
720575941537638627,DNa14,False,0.0,0.0,True,1,1,19,indirect_only,19.0
720575941556195300,DNde001,False,0.0,0.0,True,1,1,19,indirect_only,19.0
720575941476378164,DNg10,True,1.0,18.0,False,0,0,0,direct_only,18.0
