dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941733034283,DNp19,720575941457147206,720575941468288375,hg3,steering,19,6,114
720575941733034283,DNp19,720575941457147206,720575941479034563,DLM1,power,19,4,76
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,19,66,1254
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,19,19,361
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,19,8,152
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,19,32,608
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,19,9,171
720575941733034283,DNp19,720575941457147206,720575941549822781,b1,steering,19,25,475
720575941733034283,DNp19,720575941457147206,720575941565378919,iii3,steering,19,18,342
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,19,40,760
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,19,5,95
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,19,3,57
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,19,5,95
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,19,4,76
720575941733034283,DNp19,720575941457147206,720575941596050112,DLM5,power,19,4,76
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,19,4,76
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,19,15,285
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,19,3,57
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,19,4,76
720575941733034283,DNp19,720575941457147206,720575941655597785,b2,steering,19,3,57
720575941733034283,DNp19,720575941457147206,720575941463144336,DLM1,power,3,4,12
720575941733034283,DNp19,720575941457147206,720575941468288375,hg3,steering,3,6,18
720575941733034283,DNp19,720575941457147206,720575941479034563,DLM1,power,3,4,12
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,3,66,198
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,3,19,57
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,3,8,24
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,3,32,96
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,3,9,27
720575941733034283,DNp19,720575941457147206,720575941549822781,b1,steering,3,25,75
