dn_group,in_group,numerator_synapses,denominator_input,input_fraction
DNae002,IN02A047,13,87.0,0.14942528735632185
DNxn125,IN06A116,342,2303.0,0.14850195397307858
DNg07,IN08B108,13,89.0,0.14606741573033707
DNxn183,INFST153,24,165.0,0.14545454545454545
DNa15,IN06A076,95,660.0,0.14393939393939395
DNp22,IN07B064,14,98.0,0.14285714285714285
DNxn124,IN12A059,385,2705.0,0.1423290203327172
DNb04,IN02A048,14,99.0,0.1414141414141414
DNb07,IN06A103,45,324.0,0.1388888888888889
DNa09,IN06A047,47,346.0,0.13583815028901733
DNg05,IN03B037,78,586.0,0.13310580204778158
DNg41,IN07B064,13,98.0,0.1326530612244898
DNg70,IN17A083,10,79.0,0.12658227848101267
DNg70,IN17A080,12,95.0,0.12631578947368421
DNxn178,IN06B080,26,206.0,0.1262135922330097
DNg41,IN16B066,27,214.0,0.1261682242990654
DNp63,IN06A054,41,327.0,0.12538226299694188
DNp08,IN18B035,99,794.0,0.12468513853904283
DNp08,IN05B032,197,1591.0,0.12382149591451917
DNge053,IN08A016,41,332.0,0.12349397590361445
DNb03,IN07B064,12,98.0,0.12244897959183673
DNg106,IN06A100,37,303.0,0.12211221122112212
DNxn124,IN03B043,81,666.0,0.12162162162162163
DNae003,IN11B011,145,1193.0,0.12154233025984912
DNp33,IN06A079,105,865.0,0.12138728323699421
DNb07,IN11B002,293,2421.0,0.12102437009500207
DNg27,dMS10,109,916.0,0.11899563318777293
DNg80,INXXX204,24,202.0,0.1188118811881188
DNg41,IN16B059,12,102.0,0.11764705882352941
DNp60,IN19B007,16,137.0,0.11678832116788321
DNb07,IN12A063,326,2793.0,0.11672037235947011
DNg07,IN16B092,88,754.0,0.11671087533156499
