dn_group,muscle,indirect_fraction
DNxl130,DVM3A,0.00178982226968116
DNpe053,DVM3A,0.0017873600022755719
DNa15,b2,0.001785593070969304
DNge091,hg2,0.0017829584289174862
DNp54,DVM2A,0.0017817034750969678
DNut042,b3,0.0017814440680557213
DNxn142,iii3,0.0017728395645536018
DNxn125,hg3,0.0017702211351286051
DNp07,iii3,0.001766757732266079
DNp45,iii1,0.0017645580350469296
DNp18,i1,0.0017643723350663294
DNg32,iii3,0.001761631141372092
DNp33,b2,0.0017558860426160243
DNp53,hg4,0.0017491869790960026
DNg99,i1,0.0017439027320542899
DNp63,hg2,0.0017335644921023196
DNp69,ps1,0.0017255066417116356
DNg71,hg1,0.0017242203486596372
DNp60,ps1,0.0017238293093548088
DNae003,hg1,0.001723574248993066
DNp33,hg3,0.001721887096581778
DNg02,i1,0.0017113782151414163
DNp31,b3,0.0017066829882025206
DNge091,b2,0.0017021927564507579
DNxn102,DLM1,0.0016975087052488935
DNxn142,hg1,0.0016971643528299627
DNut053,DVM3A,0.0016928156934893053
DNp73,b2,0.001692755699776803
DNge175,hg2,0.0016898725831664483
DNp73,hg4,0.001689085984719428
DNb05,hg3,0.0016827338019465947
DNpe005,DVM2A,0.001680999866692466
DNxn151,hg1,0.0016744452403471186
DNg74,iii1,0.0016738787349071444
DNp60,DVM3A,0.0016723373919981107
DNg08,iii4,0.00167167262684454
DNxn125,iii3,0.0016646427519345253
DNg07,b1,0.0016537087995365895
DNxn183,hg2,0.0016412266729120045
DNut053,DVM1A,0.0016329964990632155
DNxn102,DVM2A,0.0016316273580030253
DNae003,hg4,0.0016274301028144347
DNge175,hg3,0.0016250776031432963
DNge053,DVM2A,0.0016218408437652235
DNge016,hg2,0.0016215588328192087
DNg07,hg2,0.0016195086525317786
DNg06,DLM5,0.0016192367396032745
DNa09,iii3,0.001613350008488124
DNxn122,i1,0.0016070880135919273
DNxn102,DLM5,0.0016040265938120943
DNb04,hg3,0.0015995457185909582
DNp28,i1,0.0015995197189374944
DNxn142,b2,0.0015981350006977549
DNut040,i2,0.0015946986150694503
DNg04,hg1,0.0015943905553993517
DNg51,b2,0.001593406023994463
DNxn177,DVM2A,0.0015920568919327695
DNb01,hg2,0.0015914250196586675
DNxl130,DVM1A,0.0015902260424719764
DNae002,hg1,0.001582438703052083
DNg08,b3,0.0015781739520180872
DNp33,DVM1A,0.00157569475067205
DNge091,iii4,0.0015720032176437086
DNg08,i1,0.0015713502476935402
DNg15,hg1,0.001568651264163217
DNp13,b2,0.0015668870954634593
DNp07,i1,0.0015648657008091667
DNxn122,hg1,0.001563432383322184
DNg06,b1,0.0015587933984478196
DNxn122,hg2,0.0015539647572865806
DNg32,b3,0.0015498543756702326
DNg02,iii4,0.0015487391457521572
DNg41,hg2,0.0015481739367969052
DNg08,b1,0.001548118218707273
DNxn122,iii3,0.0015422916791129563
DNxn124,b2,0.001540277226122468
DNb01,b1,0.001539899438707262
DNut040,iii4,0.0015378429134991025
DNb05,b2,0.0015290301301790783
DNp10,iii4,0.0015233920334368817
DNb05,iii3,0.0015228943878264835
DNg05,DLM1,0.0015187988882561076
DNge016,hg3,0.0015165617776718046
DNxn151,iii4,0.0015153451213668662
DNa10,iii1,0.0015133444023798688
DNp49,b1,0.0015109074569728703
DNp60,DVM1A,0.0015068979807091164
DNxn163,hg2,0.00150520222831435
DNpe005,hg1,0.0015051564529781523
DNp45,ps1,0.001502543615355818
DNp54,i2,0.0015018263119821124
DNg71,hg4,0.0015013073010157522
DNg92,hg2,0.0014989420822186998
DNxn007,i2,0.0014986343511734313
DNp03,DLM1,0.001492590794879981
DNp26,b3,0.0014860191965273227
DNg106,hg1,0.0014853029453552064
DNb07,DLM5,0.0014844709281834748
DNg110,hg2,0.0014841715573846873
DNp49,b2,0.0014820764309572275
DNg71,b3,0.0014789236531047541
DNa10,DVM3A,0.001477422092994679
DNb05,i1,0.001476660283458971
DNg07,i1,0.0014756795308942922
DNp28,hg1,0.0014755730843795424
DNut042,iii3,0.0014717982415494602
DNut058,i2,0.0014710691750869304
DNut042,b2,0.0014689209010036654
DNp51,b3,0.001466885404877417
DNg92,hg3,0.001465162320735698
DNg71,iii4,0.0014650685188462554
DNut037,i1,0.0014640907677234808
DNxn142,b1,0.0014639911268553814
DNa10,b2,0.0014615730707708732
DNg91,hg4,0.0014608440973834912
DNp53,iii4,0.0014571205647214258
DNg08,ps1,0.0014555619547830928
DNg71,hg3,0.0014505944348071717
DNg06,DLM1,0.0014476296025609406
DNut047,hg3,0.0014338818617612016
DNp18,i2,0.0014326837024210245
DNg91,b2,0.0014305564972484776
DNp51,hg1,0.0014257413002592984
DNp73,iii4,0.0014250719626827607
DNxl130,DLM1,0.0014110889546123046
DNg91,b3,0.001408311315319957
DNg92,ps1,0.0014071500406349928
DNg110,DVM3A,0.0014054209332897668
