Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941642158418,T3_METANM,soma in VNC,ACH,0.87,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,03A,,left,IN03A088,IN03A088,,,,IN
720575941642158930,LTCT,soma in VNC,ACH,0.81,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,11A,,left,IN11A032,IN11A032,,,,IN
720575941642159186,T3_METANM,soma in VNC,GABA,0.94,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,01B,,right,IN01B059,IN01B059,,,,IN
720575941642160466,ANM,soma in VNC,GABA,0.9,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,,,left,INXXX416,INXXX416,,,,IN
720575941642161746,T1_PRONM,soma in VNC,GABA,0.95,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,01B,,right,IN01B006,IN01B006,,,,IN
720575941642166354,T1_PRONM.T3_METANM,"CNS neuron,T1+T2+T3 leg intersegmental,leg intersegmental,soma in VNC",GABA,0.97,,,,,intrinsic,ventral_nerve_cord_intrinsic,sequential_leg_neuromeres,ventral_nerve_cord_bilateral_interconnecting,14B,,right,IN14B002,IN14B002,,,,IN
720575941642221176,T2_MESONM,soma in VNC,GABA,0.99,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,13A,,right,IN13A036,IN13A036,,,,IN
720575941642229112,T2_MESONM,soma in VNC,ACH,0.85,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,20A.22A,,right,IN20A.22A084,IN20A.22A084,,,,IN
720575941642249592,T1_PRONM,soma in VNC,GABA,0.98,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,09A,,right,IN09A084,IN09A084,,,,IN
720575941642302840,T1_PRONM,soma in VNC,ACH,0.91,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,20A.22A,,left,IN20A.22A035,IN20A.22A035,,,,IN
