source,target,weight,neuropil,nt_type
720575941511275986,720575941580669817,145,VNC_WTct_R,
720575941511275986,720575941655597785,103,VNC_WTct_R,
720575941511393233,720575941459347411,61,VNC_WTct_L,
720575941511393233,720575941624155644,54,VNC_WTct_L,
720575941511393233,720575941643100754,59,VNC_WTct_R,
720575941511393233,720575941645041313,71,VNC_WTct_L,
720575941511393233,720575941655597785,63,VNC_WTct_R,
720575941512896099,720575941479034563,56,VNC_WTct_R,
720575941512896099,720575941533190337,68,VNC_WTct_R,
720575941512896099,720575941583644382,54,VNC_WTct_R,
720575941512896099,720575941596050112,63,VNC_WTct_R,
720575941513033219,720575941468288375,65,VNC_WTct_R,
720575941513033219,720575941513173763,92,VNC_WTct_R,
720575941513033219,720575941516770670,50,VNC_HTct_R,
720575941513033219,720575941516770670,101,VNC_WTct_R,
720575941514046355,720575941549822781,56,VNC_WTct_R,
720575941514046355,720575941655597785,55,VNC_WTct_R,
720575941516099500,720575941519783640,53,VNC_WTct_L,
720575941516099500,720575941534583786,56,VNC_WTct_L,
720575941516099500,720575941640465439,50,VNC_WTct_L,
720575941516099500,720575941645403000,74,VNC_WTct_L,
720575941516616664,720575941459347411,90,VNC_WTct_L,
720575941516616664,720575941630940642,200,VNC_WTct_L,
720575941516842094,720575941629172716,63,VNC_WTct_R,
720575941518434227,720575941507955269,59,VNC_WTct_L,
720575941518434227,720575941519783640,78,VNC_WTct_L,
720575941518434227,720575941534583786,72,VNC_WTct_L,
720575941518434227,720575941640465439,74,VNC_WTct_L,
720575941518434227,720575941645403000,91,VNC_WTct_L,
720575941519213016,720575941507955269,50,VNC_WTct_L,
720575941519213016,720575941534583786,55,VNC_WTct_L,
720575941520331511,720575941474574132,52,VNC_WTct_R,
720575941521101495,720575941489673420,118,VNC_WTct_L,
720575941522089463,720575941468897856,52,VNC_IntTct_R,
720575941524114276,720575941516770670,53,VNC_WTct_R,
720575941524114276,720575941643100754,83,VNC_WTct_R,
720575941524114276,720575941655597785,58,VNC_WTct_R,
720575941526718564,720575941580669817,58,VNC_HTct_R,
720575941526718564,720575941580669817,65,VNC_WTct_R,
720575941527099981,720575941643100754,202,VNC_WTct_R,
720575941528944568,720575941458961604,154,VNC_HTct_R,
720575941528944568,720575941458961604,53,VNC_WTct_R,
720575941530751363,720575941643100754,56,VNC_WTct_R,
720575941532476248,720575941459347411,84,VNC_WTct_L,
720575941532476248,720575941630940642,69,VNC_WTct_L,
720575941532507480,720575941534583786,61,VNC_WTct_L,
720575941533738986,720575941513173763,90,VNC_WTct_R,
720575941533819162,720575941655597785,56,VNC_WTct_R,
720575941535331338,720575941580669817,51,VNC_HTct_R,
720575941535943178,720575941516770670,53,VNC_WTct_R,
720575941536371442,720575941565378919,52,VNC_HTct_L,
720575941537594573,720575941583644382,57,VNC_WTct_R,
720575941537594573,720575941596050112,66,VNC_WTct_R,
720575941537796989,720575941542412805,113,VNC_WTct_L,
720575941537796989,720575941547315060,75,VNC_WTct_L,
720575941539741788,720575941655597785,65,VNC_WTct_R,
720575941543397737,720575941534583786,76,VNC_WTct_L,
720575941543647420,720575941468288375,66,VNC_WTct_R,
720575941543647420,720575941516770670,63,VNC_WTct_R,
720575941546335676,720575941468288375,76,VNC_WTct_R,
720575941546335676,720575941513173763,64,VNC_WTct_R,
720575941546335676,720575941516770670,68,VNC_WTct_R,
720575941546727713,720575941549822781,54,VNC_WTct_R,
720575941546727713,720575941655597785,76,VNC_WTct_R,
720575941547177076,720575941624155644,57,VNC_WTct_L,
720575941550878087,720575941458961604,55,VNC_HTct_R,
720575941550948231,720575941456201887,50,VNC_WTct_L,
720575941551589274,720575941516770670,63,VNC_WTct_R,
720575941551598746,720575941534583786,55,VNC_WTct_L,
720575941551632794,720575941596050112,68,VNC_WTct_R,
720575941551926527,720575941629172716,53,VNC_WTct_R,
720575941553338778,720575941542412805,66,VNC_WTct_L,
720575941554049307,720575941463144336,67,VNC_WTct_R,
720575941554049307,720575941479034563,79,VNC_WTct_R,
720575941554049307,720575941533190337,96,VNC_WTct_R,
720575941554049307,720575941583644382,54,VNC_WTct_R,
720575941554049307,720575941596050112,71,VNC_WTct_R,
