Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941644554184,GNG,"CNS neuron,DNfl038,soma in brain",GABA,0.97,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNfl038,"DNfl038,DNge065",,,,DN
720575941644756168,AVLP,"CNS neuron,soma in brain",SER,0.85,,"Mip,Natalisin",,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNg30,DNg30,,,,DN
720575941645080481,GNG.INTTCT,"CNS neuron,DNxn126,soma in brain",ACH,0.82,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNxn126,"DNge137,DNxn126",,,,DN
720575941645117304,GNG,"CNS neuron,DNxl070,soma in brain",GABA,0.96,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNxl070,"DNge052,DNxl070",,,,DN
720575941645213048,SMP.PRW,"CNS neuron,DNit012,soma in brain",GABA,0.72,,,,,intrinsic,descending,descending_neuron,,DM2_central,,right,DNit012,"DNit012,DNpe033",,,,DN
720575941645239752,GNG,"CNS neuron,soma in brain",GABA,0.98,,,,,intrinsic,descending,descending_neuron,,LB6,,left,DNge085,DNge085,,,,DN
720575941645372792,IPS.HTCT,"CNS neuron,DNut046,soma in brain",ACH,0.87,,,,,intrinsic,descending,descending_neuron,,PSp2,,left,DNut046,"DNpe054,DNut046",,,,DN
720575941645444808,IPS.INTTCT,"CNS neuron,soma in brain",ACH,0.89,,,,,intrinsic,descending,descending_neuron,,,,right,DNp22,DNp22,,,,DN
720575941645731272,UNASSIGNED.NTCT,"CNS neuron,soma in brain",GABA,0.99,,,,,intrinsic,descending,descending_neuron,,LB6,,right,DNge071,DNge071,,,,DN
720575941645918152,SMP,soma in brain,SER,0.44,,CCAP,,,intrinsic,descending,descending_neuron,,SMPpv1,,right,DNpe048,"DNpe048,SMP367",,,,DN
720575941649976049,GNG.T1_PRONM,"CNS neuron,soma in brain",ACH,0.82,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNge019,"DNge019,MX12_R_3",,,,DN
720575941650178289,GNG.T2_MESONM,"CNS neuron,soma in brain",ACH,0.9,,,,,intrinsic,descending,descending_neuron,,,,right,DNg45,DNg45,,,,DN
720575941651139349,SPS.HTCT,"CNS neuron,DNg92,soma in brain",ACH,0.96,,,,,intrinsic,descending,descending_neuron,,LB12,,left,DNg92,"DNg92,DNg92_a",,,,DN
720575941651815445,SAD.INTTCT,"CNS neuron,soma in brain",GABA,0.98,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNge084,DNge084,,,,DN
720575941651866901,GNG.INTTCT,"CNS neuron,DNut054,soma in brain",ACH,0.98,,,,,intrinsic,descending,descending_neuron,,LB7,,left,DNut054,"DNge118,DNut054",,,,DN
720575941652036373,SLP.FLA,"CNS neuron,soma in brain",SER,0.71,,Dsk,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNp62,DNp62,,,,DN
720575941652078869,GNG,"CNS neuron,soma in brain",GLUT,0.93,,,,,intrinsic,descending,descending_neuron,,MX12__prim,,right,DNg44,DNg44,,,,DN
720575941652085745,VES,"CNS neuron,DNxn143,soma in brain",ACH,0.82,,,,,intrinsic,descending,descending_neuron,,WEDd1,,left,DNxn143,"DNae007,DNxn143",,,,DN
720575941652156657,SPS.INTTCT,"CNS neuron,soma in brain",ACH,0.87,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNp41,DNp41,,,,DN
720575941652278033,GNG.IPS,"CNS neuron,DNg10,soma in brain",GABA,0.96,,,,,intrinsic,descending,descending_neuron,,LB6,,left,DNg10,"DNg10,DNge087",,,,DN
720575941652319705,GNG,"CNS neuron,soma in brain",ACH,0.81,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNge019,"DNge019,MX12_R_35",,,,DN
720575941652433393,SPS.NTCT,"CNS neuron,soma in brain",ACH,0.89,,,,,intrinsic,descending,descending_neuron,,PSp2,,left,DNpe011,DNpe011,,,,DN
720575941652493524,GNG.T1_PRONM,"CNS neuron,DNfl028,soma in brain",ACH,0.96,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNfl028,"DNfl028,DNg12_e,MX12_R_24",,,,DN
720575941652579093,GNG.T1_PRONM,"CNS neuron,soma in brain,soma on midline",OCT,0.74,,,,,intrinsic,descending,descending_neuron,,LB0_anterior,,right,DNge149,DNge149,,,,DN
720575941652614129,SPS.HTCT,"CNS neuron,soma in brain",ACH,0.85,,,,,intrinsic,descending,descending_neuron,,WEDd1,,left,DNae002,DNae002,,,,DN
720575941652633585,SPS.HTCT,"CNS neuron,soma in brain",ACH,0.88,,,,,intrinsic,descending,descending_neuron,,WEDd1,,right,DNae002,DNae002,,,,DN
720575941652728049,GNG.T1_PRONM,"CNS neuron,soma in brain",GABA,0.96,,,,,intrinsic,descending,descending_neuron,,MX3,,left,DNg74,"DNg74,DNg74_a",,,,DN
720575941652815857,IPS.HTCT,"CNS neuron,soma in brain",ACH,0.92,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNb03,DNb03,,,,DN
720575941653640465,GNG,"CNS neuron,DNxl086,soma in brain",GLUT,0.77,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNxl086,"DNge055,DNxl086",,,,DN
720575941653816081,AVLP.GNG,"CNS neuron,pIP9,soma in brain",GLUT,0.9,,,,,intrinsic,descending,descending_neuron,,DM6_central1,,right,pIP9,"DNp36,pIP9",,,,DN
720575941653831185,VES.T1_PRONM,"CNS neuron,DNxl092,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,WEDd1,,left,DNxl092,"DNae005,DNxl092",,,,DN
720575941653841681,GNG,"CNS neuron,soma in brain",ACH,0.83,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNge001,"DNge001,MX12_R_27",,,,DN
720575941654376916,SAD.INTTCT,CNS neuron,GABA,0.95,,,,,intrinsic,descending,descending_neuron,,MX3,,right,DNg106,DNg106,,,,DN
720575941655117012,SPS.INTTCT,"CNS neuron,soma in brain",GABA,0.95,,,,,intrinsic,descending,descending_neuron,,LB6,,right,DNg11,DNg11,,,,DN
720575941655820244,GNG,"CNS neuron,soma in brain",ACH,0.71,,,,,intrinsic,descending,descending_neuron,,MX12__prim,,left,DNg21,DNg21,,,,DN
720575941656710736,SAD.INTTCT,"CNS neuron,soma in brain",ACH,0.93,,,,,intrinsic,descending,descending_neuron,,LB7,,right,DNge091,DNge091,,,,DN
