group_id,group_size,target_mn,groupwise_synapses,group_neurons
216.0,2.0,720575941547315060,147,"[7.20575941507787e+17, 7.20575941662449e+17]"
216.0,2.0,720575941547394081,97,"[7.20575941507787e+17, 7.20575941662449e+17]"
218.0,2.0,720575941629172716,193,"[7.205759415078482e+17, 7.205759415547846e+17]"
223.0,2.0,720575941459347411,150,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941516770670,123,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941549822781,127,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941624155644,134,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941643100754,309,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941645041313,226,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941645403000,54,"[7.205759415113933e+17, 7.205759415241143e+17]"
223.0,2.0,720575941655597785,178,"[7.205759415113933e+17, 7.205759415241143e+17]"
228.0,2.0,720575941468288375,157,"[7.205759415130332e+17, 7.205759416100562e+17]"
228.0,2.0,720575941513173763,189,"[7.205759415130332e+17, 7.205759416100562e+17]"
228.0,2.0,720575941516770670,268,"[7.205759415130332e+17, 7.205759416100562e+17]"
229.0,2.0,720575941580669817,94,"[7.205759415132644e+17, 7.205759416414903e+17]"
236.0,2.0,720575941463144336,125,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941479034563,125,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941507955269,121,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941519783640,93,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941533190337,110,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941534583786,109,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941565105206,69,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941566847847,86,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941583644382,73,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941596050112,85,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941640465439,130,"[7.205759415160995e+17, 7.2057594151562e+17]"
236.0,2.0,720575941645403000,175,"[7.205759415160995e+17, 7.2057594151562e+17]"
241.0,2.0,720575941463144336,97,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941479034563,119,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941507955269,167,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941519783640,157,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941533190337,81,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941534583786,157,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941565105206,56,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941566847847,64,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941583644382,58,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941596050112,81,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941640465439,184,"[7.205759415184342e+17, 7.205759415613088e+17]"
241.0,2.0,720575941645403000,211,"[7.205759415184342e+17, 7.205759415613088e+17]"
245.0,2.0,720575941475745898,88,"[7.20575941519274e+17, 7.205759415257824e+17]"
246.0,2.0,720575941468897856,70,"[7.205759415203315e+17, 7.205759415362943e+17]"
246.0,2.0,720575941474574132,131,"[7.205759415203315e+17, 7.205759415362943e+17]"
252.0,2.0,720575941643100754,153,"[7.205759415241855e+17, 7.205759415307514e+17]"
253.0,2.0,720575941513173763,81,"[7.205759415251826e+17, 7.205759415575766e+17]"
259.0,2.0,720575941463144336,109,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941479034563,134,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941507955269,91,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941533190337,118,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941534583786,88,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941583644382,102,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941596050112,108,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941640465439,83,"[7.20575941527833e+17, 7.205759416379587e+17]"
259.0,2.0,720575941645403000,83,"[7.20575941527833e+17, 7.205759416379587e+17]"
260.0,2.0,720575941456201887,103,"[7.205759415278437e+17, 7.205759415292127e+17]"
265.0,2.0,720575941463144336,71,"[7.205759415308617e+17, 7.205759416283773e+17]"
265.0,2.0,720575941479034563,69,"[7.205759415308617e+17, 7.205759416283773e+17]"
265.0,2.0,720575941533190337,96,"[7.205759415308617e+17, 7.205759416283773e+17]"
265.0,2.0,720575941583644382,85,"[7.205759415308617e+17, 7.205759416283773e+17]"
265.0,2.0,720575941596050112,77,"[7.205759415308617e+17, 7.205759416283773e+17]"
266.0,2.0,720575941645041313,52,"[7.205759415312886e+17, 7.205759415632064e+17]"
267.0,2.0,720575941549822781,80,"[7.205759415323857e+17, 7.20575941552472e+17]"
