source,target,weight,neuropil,nt_type,target_total_input,shrec_score
720575941439017423,720575941542412805,182,VNC_HTct_L,,4250,4.2823529411764705
720575941439017423,720575941542412805,33,VNC_WTct_L,,4250,0.7764705882352941
720575941439017423,720575941547315060,100,VNC_HTct_L,,5135,1.9474196689386565
720575941439063503,720575941456201887,29,VNC_HTct_L,,5339,0.5431728788162578
720575941439063503,720575941630940642,37,VNC_HTct_L,,5684,0.6509500351864884
720575941439197269,720575941472734048,16,VNC_WTct_R,,1616,0.9900990099009901
720575941439197269,720575941487139138,16,VNC_WTct_R,,905,1.7679558011049725
720575941439197269,720575941499558369,6,VNC_WTct_R,,929,0.6458557588805167
720575941439197269,720575941530190027,5,VNC_HTct_R,,680,0.7352941176470588
720575941439197269,720575941530190027,13,VNC_WTct_R,,680,1.911764705882353
720575941439197269,720575941542328837,7,VNC_WTct_L,,481,1.4553014553014554
720575941439197269,720575941560383347,7,VNC_WTct_L,,1027,0.6815968841285297
720575941439197269,720575941565105206,11,VNC_WTct_L,,1775,0.6197183098591549
720575941439197269,720575941566847847,12,VNC_WTct_L,,1840,0.6521739130434783
720575941439197269,720575941573368719,5,VNC_WTct_L,,371,1.3477088948787064
720575941439197269,720575941573368719,2,VNC_WTct_R,,371,0.5390835579514826
720575941439197269,720575941590220684,5,VNC_WTct_L,,648,0.7716049382716049
720575941439197269,720575941597489344,11,VNC_WTct_R,,1757,0.6260671599317018
720575941439197269,720575941603635190,21,VNC_WTct_R,,2413,0.870285951098218
720575941439197269,720575941614289683,5,VNC_WTct_L,,593,0.8431703204047217
720575941439197269,720575941624985226,9,VNC_WTct_R,,738,1.2195121951219512
720575941440287183,720575941458961604,9,VNC_HTct_R,,1340,0.6716417910447761
720575941440620123,720575941479034563,24,VNC_WTct_R,,5233,0.45862793808522834
720575941440620123,720575941487139138,6,VNC_WTct_R,,905,0.6629834254143646
720575941440620123,720575941596050112,33,VNC_WTct_R,,5583,0.5910800644814616
720575941440620123,720575941624985226,6,VNC_WTct_R,,738,0.8130081300813009
720575941440620123,720575941624985226,3,VNC_unassigned_R,,738,0.40650406504065045
720575941440736207,720575941565378919,9,VNC_HTct_L,,2178,0.4132231404958678
720575941441228735,720575941565378919,12,VNC_HTct_L,,2178,0.5509641873278237
720575941441993167,720575941459347411,25,VNC_WTct_L,,6237,0.4008337341670675
720575941441993167,720575941499558369,6,VNC_WTct_R,,929,0.6458557588805167
720575941441993167,720575941643100754,52,VNC_WTct_R,,8670,0.5997693194925029
720575941445311658,720575941487139138,4,VNC_WTct_R,,905,0.44198895027624313
720575941445311658,720575941596050112,29,VNC_WTct_R,,5583,0.5194339960594662
720575941446990261,720575941507955269,26,VNC_WTct_L,,4269,0.6090419301944249
720575941446990261,720575941519783640,29,VNC_WTct_L,,3546,0.8178228990411731
720575941446990261,720575941534583786,39,VNC_WTct_L,,5271,0.7398975526465565
720575941446990261,720575941640465439,21,VNC_WTct_L,,4273,0.49145799204306106
720575941446990261,720575941645403000,27,VNC_WTct_L,,5129,0.5264184051472022
720575941447013813,720575941479658831,8,VNC_IntTct_R,,1708,0.468384074941452
720575941447025845,720575941521196211,10,VNC_WTct_L,,2190,0.45662100456621
720575941447025845,720575941624155644,25,VNC_WTct_L,,5692,0.4392129304286718
720575941447294045,720575941507955269,27,VNC_WTct_L,,4269,0.6324666198172875
720575941447294045,720575941519783640,30,VNC_WTct_L,,3546,0.8460236886632826
720575941447294045,720575941534583786,54,VNC_WTct_L,,5271,1.024473534433694
720575941447363677,720575941513173763,45,VNC_WTct_R,,5531,0.8135960947387453
720575941447591246,720575941463144336,41,VNC_WTct_R,,4549,0.9012969883490877
720575941447591246,720575941479034563,21,VNC_WTct_R,,5233,0.40129944582457483
720575941447591246,720575941583644382,25,VNC_WTct_R,,3889,0.6428387760349704
720575941447779092,720575941519783640,15,VNC_WTct_L,,3546,0.4230118443316413
720575941447779092,720575941560383347,7,VNC_WTct_L,,1027,0.6815968841285297
720575941447779092,720575941566847847,21,VNC_WTct_L,,1840,1.141304347826087
720575941447779092,720575941590220684,6,VNC_WTct_L,,648,0.9259259259259258
720575941447786574,720575941521196211,14,VNC_HTct_L,,2190,0.6392694063926941
720575941447786574,720575941521196211,9,VNC_unassigned_L,,2190,0.410958904109589
720575941447887636,720575941472734048,12,VNC_WTct_R,,1616,0.7425742574257426
