source,target,weight,neuropil,nt_type,dn_name,in_name,in_rank,in_score,in_cluster,dn_specialization
720575941482535366,720575941608991050,12,VNC_IntTct_R,,DNg01,720575941608991050,22,42.72906772882216,1,steering_control
720575941483554189,720575941572251144,13,VNC_HTct_L,,DNut050,720575941572251144,13,45.201551287463005,1,steering_control
720575941483554189,720575941572251144,13,VNC_IntTct_L,,DNut050,720575941572251144,13,45.201551287463005,1,steering_control
720575941486587714,720575941579868917,21,VNC_NTct_L,,DNp17,720575941579868917,37,37.05389094430501,4,steering_control
720575941487659984,720575941557612915,10,VNC_IntTct_R,,DNut058,720575941557612915,11,45.47062630877588,1,steering_control
720575941491761895,720575941457147206,24,VNC_IntTct_L,,DNp10,720575941457147206,38,37.02653434949327,4,steering_control
720575941492697264,720575941608991050,11,VNC_IntTct_R,,DNp28,720575941608991050,22,42.72906772882216,1,steering_control
720575941493998464,720575941579868917,43,VNC_NTct_L,,DNnt010,720575941579868917,37,37.05389094430501,4,steering_control
720575941495377280,720575941608991050,12,VNC_IntTct_R,,DNut042,720575941608991050,22,42.72906772882216,1,steering_control
720575941496011719,720575941579868917,18,VNC_IntTct_L,,DNa16,720575941579868917,37,37.05389094430501,4,steering_control
720575941496011719,720575941579868917,63,VNC_NTct_L,,DNa16,720575941579868917,37,37.05389094430501,4,steering_control
720575941496011719,720575941611080010,98,VNC_HTct_L,,DNa16,720575941611080010,45,36.5042123371087,5,steering_control
720575941496011719,720575941611080010,11,VNC_IntTct_L,,DNa16,720575941611080010,45,36.5042123371087,5,steering_control
720575941496011719,720575941611080010,10,VNC_WTct_L,,DNa16,720575941611080010,45,36.5042123371087,5,steering_control
720575941496919168,720575941532246762,11,VNC_IntTct_R,,DNp57,720575941532246762,36,37.60221501644136,5,steering_control
720575941496919168,720575941557612915,51,VNC_IntTct_R,,DNp57,720575941557612915,11,45.47062630877588,1,steering_control
720575941496919168,720575941608991050,16,VNC_IntTct_R,,DNp57,720575941608991050,22,42.72906772882216,1,steering_control
720575941500700139,720575941572251144,15,VNC_IntTct_L,,DNg01,720575941572251144,13,45.201551287463005,1,steering_control
720575941503507435,720575941457802480,13,VNC_LTct_L,,DNp02,720575941457802480,6,48.06843106807939,2,power_control
720575941503507435,720575941474741819,19,VNC_LTct_L,,DNp02,720575941474741819,14,45.09030416514421,2,power_control
720575941503549931,720575941457147206,25,VNC_IntTct_L,,DNg71,720575941457147206,38,37.02653434949327,4,steering_control
720575941503549931,720575941457147206,11,VNC_NTct_L,,DNg71,720575941457147206,38,37.02653434949327,4,steering_control
720575941503549931,720575941477166622,41,VNC_IntTct_L,,DNg71,720575941477166622,28,39.98144562172689,5,steering_control
720575941503549931,720575941477166622,44,VNC_NTct_L,,DNg71,720575941477166622,28,39.98144562172689,5,steering_control
720575941503549931,720575941572251144,15,VNC_HTct_L,,DNg71,720575941572251144,13,45.201551287463005,1,steering_control
720575941503549931,720575941579868917,14,VNC_NTct_L,,DNg71,720575941579868917,37,37.05389094430501,4,steering_control
720575941504328791,720575941512896099,15,VNC_IntTct_R,,DNpe005,720575941512896099,26,40.99180520034098,2,steering_control
720575941504652482,720575941623108298,30,VNC_HTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941504652482,720575941623108298,15,VNC_IntTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941504652482,720575941623108298,10,VNC_NTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941504652482,720575941623108298,32,VNC_WTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941504652482,720575941671138727,25,VNC_HTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941504652482,720575941671138727,35,VNC_IntTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941504652482,720575941671138727,23,VNC_WTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941504921906,720575941511393233,10,VNC_LTct_L,,DNp47,720575941511393233,20,43.02093840491032,3,steering_control
720575941504921906,720575941524114276,12,VNC_IntTct_L,,DNp47,720575941524114276,4,49.65708655982445,3,steering_control
720575941504921906,720575941524114276,10,VNC_IntTct_R,,DNp47,720575941524114276,4,49.65708655982445,3,steering_control
720575941504921906,720575941524114276,10,VNC_LTct_L,,DNp47,720575941524114276,4,49.65708655982445,3,steering_control
720575941505673566,720575941557612915,19,VNC_HTct_R,,DNg82,720575941557612915,11,45.47062630877588,1,steering_control
720575941506310821,720575941572251144,24,VNC_HTct_L,,DNge016,720575941572251144,13,45.201551287463005,1,steering_control
720575941506310821,720575941572251144,20,VNC_IntTct_L,,DNge016,720575941572251144,13,45.201551287463005,1,steering_control
720575941507073303,720575941474741819,23,VNC_LTct_R,,DNp02,720575941474741819,14,45.09030416514421,2,steering_control
720575941507073303,720575941511393233,12,VNC_LTct_R,,DNp02,720575941511393233,20,43.02093840491032,3,steering_control
720575941508375390,720575941519213016,13,VNC_IntTct_L,,DNpe005,720575941519213016,32,38.932820302033775,2,steering_control
720575941508492417,720575941557612915,12,VNC_HTct_R,,DNg71,720575941557612915,11,45.47062630877588,1,steering_control
720575941508492417,720575941608991050,22,VNC_HTct_R,,DNg71,720575941608991050,22,42.72906772882216,1,steering_control
720575941510475536,720575941611080010,12,VNC_HTct_L,,DNa02,720575941611080010,45,36.5042123371087,5,steering_control
720575941510642192,720575941623108298,16,VNC_HTct_R,,DNa10,720575941623108298,1,61.48917156774057,3,steering_control
720575941510642192,720575941623108298,11,VNC_IntTct_R,,DNa10,720575941623108298,1,61.48917156774057,3,steering_control
720575941510642192,720575941623108298,20,VNC_WTct_R,,DNa10,720575941623108298,1,61.48917156774057,3,steering_control
720575941510642192,720575941671138727,26,VNC_HTct_L,,DNa10,720575941671138727,19,43.07185790314436,3,steering_control
720575941510642192,720575941671138727,21,VNC_WTct_L,,DNa10,720575941671138727,19,43.07185790314436,3,steering_control
720575941512837452,720575941553338778,14,VNC_IntTct_L,,DNge091,720575941553338778,50,36.05417732310315,5,steering_control
720575941513772179,720575941553338778,21,VNC_IntTct_L,,DNxn117,720575941553338778,50,36.05417732310315,5,steering_control
720575941514461772,720575941457802480,16,VNC_IntTct_R,,DNp11,720575941457802480,6,48.06843106807939,2,power_control
720575941514461772,720575941457802480,15,VNC_LTct_L,,DNp11,720575941457802480,6,48.06843106807939,2,power_control
720575941514461772,720575941457802480,16,VNC_LTct_R,,DNp11,720575941457802480,6,48.06843106807939,2,power_control
720575941514461772,720575941474741819,27,VNC_LTct_R,,DNp11,720575941474741819,14,45.09030416514421,2,power_control
720575941514949881,720575941579868917,67,VNC_NTct_L,,DNnt017,720575941579868917,37,37.05389094430501,4,steering_control
720575941515619427,720575941408509867,12,VNC_IntTct_R,,DNpe055,720575941408509867,33,38.82719827061262,2,power_control
720575941515619427,720575941408509867,10,VNC_WTct_R,,DNpe055,720575941408509867,33,38.82719827061262,2,power_control
720575941515619427,720575941532246762,28,VNC_IntTct_R,,DNpe055,720575941532246762,36,37.60221501644136,5,power_control
720575941515917667,720575941553338778,18,VNC_IntTct_L,,DNg07,720575941553338778,50,36.05417732310315,5,steering_control
720575941515972698,720575941457147206,12,VNC_HTct_L,,DNg99,720575941457147206,38,37.02653434949327,4,steering_control
720575941515972698,720575941457147206,24,VNC_IntTct_L,,DNg99,720575941457147206,38,37.02653434949327,4,steering_control
720575941515972698,720575941457147206,13,VNC_WTct_L,,DNg99,720575941457147206,38,37.02653434949327,4,steering_control
720575941515972698,720575941477166622,29,VNC_IntTct_L,,DNg99,720575941477166622,28,39.98144562172689,5,steering_control
720575941515972698,720575941572251144,33,VNC_HTct_L,,DNg99,720575941572251144,13,45.201551287463005,1,steering_control
720575941515972698,720575941572251144,34,VNC_IntTct_L,,DNg99,720575941572251144,13,45.201551287463005,1,steering_control
720575941515972698,720575941671138727,51,VNC_IntTct_L,,DNg99,720575941671138727,19,43.07185790314436,3,steering_control
720575941515972698,720575941671138727,23,VNC_WTct_L,,DNg99,720575941671138727,19,43.07185790314436,3,steering_control
720575941521340087,720575941477166622,11,VNC_IntTct_L,,DNp51,720575941477166622,28,39.98144562172689,5,steering_control
720575941521340087,720575941572251144,12,VNC_IntTct_L,,DNp51,720575941572251144,13,45.201551287463005,1,steering_control
720575941523099127,720575941516099500,11,VNC_HTct_R,,DNut053,720575941516099500,17,44.0361481549141,2,power_control
720575941523099127,720575941532246762,10,VNC_IntTct_R,,DNut053,720575941532246762,36,37.60221501644136,5,power_control
720575941523099127,720575941594160421,16,VNC_WTct_R,,DNut053,720575941594160421,8,45.800377542321336,2,power_control
720575941523099127,720575941608991050,10,VNC_HTct_R,,DNut053,720575941608991050,22,42.72906772882216,1,power_control
720575941524513892,720575941477166622,11,VNC_IntTct_L,,DNxn109,720575941477166622,28,39.98144562172689,5,steering_control
720575941526723609,720575941477166622,21,VNC_IntTct_L,,DNnt012,720575941477166622,28,39.98144562172689,5,steering_control
720575941526946050,720575941477166622,13,VNC_IntTct_L,,DNxn173,720575941477166622,28,39.98144562172689,5,steering_control
720575941527162905,720575941457802480,39,VNC_LTct_L,,DNb05,720575941457802480,6,48.06843106807939,2,power_control
720575941527162905,720575941474741819,47,VNC_IntTct_L,,DNb05,720575941474741819,14,45.09030416514421,2,power_control
720575941527162905,720575941474741819,57,VNC_LTct_L,,DNb05,720575941474741819,14,45.09030416514421,2,power_control
720575941527162905,720575941524114276,11,VNC_IntTct_L,,DNb05,720575941524114276,4,49.65708655982445,3,power_control
720575941532728195,720575941553338778,11,VNC_HTct_L,,DNut040,720575941553338778,50,36.05417732310315,5,steering_control
720575941532728195,720575941557612915,20,VNC_HTct_R,,DNut040,720575941557612915,11,45.47062630877588,1,steering_control
720575941532728195,720575941608991050,13,VNC_HTct_R,,DNut040,720575941608991050,22,42.72906772882216,1,steering_control
720575941532728195,720575941611080010,12,VNC_HTct_L,,DNut040,720575941611080010,45,36.5042123371087,5,steering_control
720575941532728195,720575941671138727,13,VNC_WTct_L,,DNut040,720575941671138727,19,43.07185790314436,3,steering_control
720575941533578177,720575941477166622,12,VNC_NTct_L,,DNge085,720575941477166622,28,39.98144562172689,5,steering_control
720575941533704067,720575941512896099,12,VNC_WTct_R,,DNp31,720575941512896099,26,40.99180520034098,2,steering_control
720575941533704067,720575941516099500,10,VNC_WTct_L,,DNp31,720575941516099500,17,44.0361481549141,2,steering_control
720575941533704067,720575941518434227,12,VNC_WTct_L,,DNp31,720575941518434227,9,45.76155766654494,2,steering_control
720575941533704067,720575941532246762,16,VNC_IntTct_R,,DNp31,720575941532246762,36,37.60221501644136,5,steering_control
720575941534222770,720575941579868917,44,VNC_NTct_L,,DNp15,720575941579868917,37,37.05389094430501,4,steering_control
720575941534222770,720575941579868917,10,VNC_unassigned_L,,DNp15,720575941579868917,37,37.05389094430501,4,steering_control
720575941534222770,720575941611080010,19,VNC_HTct_L,,DNp15,720575941611080010,45,36.5042123371087,5,steering_control
720575941535245034,720575941473850720,18,VNC_HTct_L,,DNb07,720575941473850720,49,36.094129825843325,5,steering_control
720575941535245034,720575941473850720,45,VNC_IntTct_L,,DNb07,720575941473850720,49,36.094129825843325,5,steering_control
720575941535245034,720575941473850720,15,VNC_NTct_L,,DNb07,720575941473850720,49,36.094129825843325,5,steering_control
720575941535245034,720575941532246762,16,VNC_HTct_R,,DNb07,720575941532246762,36,37.60221501644136,5,steering_control
720575941535245034,720575941532246762,58,VNC_IntTct_R,,DNb07,720575941532246762,36,37.60221501644136,5,steering_control
720575941535245034,720575941557612915,12,VNC_HTct_R,,DNb07,720575941557612915,11,45.47062630877588,1,steering_control
720575941535245034,720575941557612915,22,VNC_IntTct_R,,DNb07,720575941557612915,11,45.47062630877588,1,steering_control
720575941535245034,720575941572251144,20,VNC_HTct_L,,DNb07,720575941572251144,13,45.201551287463005,1,steering_control
720575941535245034,720575941572251144,19,VNC_IntTct_L,,DNb07,720575941572251144,13,45.201551287463005,1,steering_control
720575941535245034,720575941608991050,12,VNC_IntTct_R,,DNb07,720575941608991050,22,42.72906772882216,1,steering_control
720575941535258802,720575941512896099,20,VNC_IntTct_R,,DNxn155,720575941512896099,26,40.99180520034098,2,steering_control
720575941535862506,720575941477166622,11,VNC_IntTct_L,,DNa01,720575941477166622,28,39.98144562172689,5,steering_control
720575941535862506,720575941477166622,15,VNC_T1_ProNm_L,,DNa01,720575941477166622,28,39.98144562172689,5,steering_control
720575941536003314,720575941579868917,26,VNC_NTct_L,,DNg10,720575941579868917,37,37.05389094430501,4,steering_control
720575941536231105,720575941579868917,15,VNC_IntTct_L,,DNxn144,720575941579868917,37,37.05389094430501,4,steering_control
720575941536301288,720575941579868917,10,VNC_NTct_L,,DNb02,720575941579868917,37,37.05389094430501,4,steering_control
720575941536301288,720575941611080010,15,VNC_HTct_L,,DNb02,720575941611080010,45,36.5042123371087,5,steering_control
720575941536778389,720575941572251144,18,VNC_HTct_L,,DNg01,720575941572251144,13,45.201551287463005,1,steering_control
720575941536778389,720575941572251144,11,VNC_IntTct_L,,DNg01,720575941572251144,13,45.201551287463005,1,steering_control
720575941537583336,720575941477166622,12,VNC_IntTct_L,,DNp54,720575941477166622,28,39.98144562172689,5,steering_control
720575941537703144,720575941611080010,21,VNC_HTct_L,,DNg04,720575941611080010,45,36.5042123371087,5,steering_control
720575941539226866,720575941623108298,15,VNC_IntTct_R,,DNp63,720575941623108298,1,61.48917156774057,3,steering_control
720575941539226866,720575941671138727,12,VNC_IntTct_L,,DNp63,720575941671138727,19,43.07185790314436,3,steering_control
720575941539809997,720575941557612915,15,VNC_HTct_R,,DNp03,720575941557612915,11,45.47062630877588,1,steering_control
720575941540215501,720575941408509867,10,VNC_LTct_L,,DNp01,720575941408509867,33,38.82719827061262,2,power_control
720575941540246364,720575941473850720,12,VNC_IntTct_L,,DNxn125,720575941473850720,49,36.094129825843325,5,steering_control
720575941540246364,720575941532246762,10,VNC_IntTct_R,,DNxn125,720575941532246762,36,37.60221501644136,5,steering_control
