dn_group,muscle,numerator_synapses,denominator_input,input_fraction
DNg03,hg4,3,11215,0.0002674988854213107
DNg41,hg4,3,11215,0.0002674988854213107
DNg81,hg4,3,11215,0.0002674988854213107
DNa07,hg4,3,11215,0.0002674988854213107
DNg37,ps1,4,15287,0.0002616602341859096
DNge049,ps1,4,15287,0.0002616602341859096
DNxn126,ps1,4,15287,0.0002616602341859096
DNp15,hg1,3,11512,0.00026059763724808893
DNp13,hg1,3,11512,0.00026059763724808893
DNxn136,hg1,3,11512,0.00026059763724808893
DNge154,hg1,3,11512,0.00026059763724808893
DNg01,hg1,3,11512,0.00026059763724808893
DNxl130,DLM1,9,35422,0.0002540793856925075
DNg01,DLM1,9,35422,0.0002540793856925075
DNg79,iii4,3,12155,0.00024681201151789385
DNge154,iii4,3,12155,0.00024681201151789385
DNxn109,iii4,3,12155,0.00024681201151789385
DNg07,iii4,3,12155,0.00024681201151789385
DNg91,iii4,3,12155,0.00024681201151789385
DNge110,iii4,3,12155,0.00024681201151789385
DNg07,b2,3,12969,0.0002313208420078649
DNge109,b2,3,12969,0.0002313208420078649
DNut048,b2,3,12969,0.0002313208420078649
DNge014,DLM1,8,35422,0.00022584834283778443
DNp28,i2,3,14380,0.0002086230876216968
DNb06,ps1,3,15287,0.0001962451756394322
DNg27,ps1,3,15287,0.0001962451756394322
DNge150,ps1,3,15287,0.0001962451756394322
DNge048,ps1,3,15287,0.0001962451756394322
DNpe055,ps1,3,15287,0.0001962451756394322
DNxn126,DLM1,5,35422,0.00014115521427361528
DNp26,DLM1,5,35422,0.00014115521427361528
DNge016,DLM1,4,35422,0.00011292417141889222
DNge049,DLM1,4,35422,0.00011292417141889222
DNge148,DLM1,3,35422,8.469312856416915e-05
DNp33,DLM1,3,35422,8.469312856416915e-05
DNxl119,DLM1,3,35422,8.469312856416915e-05
DNxn177,DLM1,3,35422,8.469312856416915e-05
DNxn125,DLM1,3,35422,8.469312856416915e-05
