interneuron_id,out_degree,degree_centrality,betweenness_centrality,n_mn_targets
720575941662295352,60,0.0032879286049788633,0.0,7
720575941533819162,117,0.0032879286049788633,0.0,7
720575941521986227,54,0.0032879286049788633,0.0,7
720575941546335676,241,0.0032879286049788633,0.0,7
720575941518866542,46,0.0032879286049788633,0.0,7
720575941614816725,58,0.0032879286049788633,0.0,7
720575941490160590,27,0.0032879286049788633,0.0,7
720575941632896453,37,0.0032879286049788633,0.0,7
720575941571904669,51,0.0032879286049788633,0.0,7
720575941526355844,52,0.0028182245185533117,0.0,6
720575941473850720,35,0.0028182245185533117,0.0,6
720575941587190583,36,0.0028182245185533117,0.0,6
720575941480421283,32,0.0028182245185533117,0.0,6
720575941519273944,76,0.0028182245185533117,0.0,6
720575941486968326,24,0.0028182245185533117,0.0,6
720575941579161465,43,0.0028182245185533117,0.0,6
720575941593836933,53,0.0028182245185533117,0.0,6
720575941579804661,30,0.0028182245185533117,0.0,6
720575941491289033,36,0.0028182245185533117,0.0,6
720575941515062851,24,0.0028182245185533117,0.0,6
720575941516768472,44,0.0028182245185533117,0.0,6
720575941478523983,41,0.0028182245185533117,0.0,6
720575941579779961,43,0.0028182245185533117,0.0,6
720575941608350794,32,0.0028182245185533117,0.0,6
720575941603749817,73,0.0028182245185533117,0.0,6
720575941579768565,27,0.0028182245185533117,0.0,6
720575941611988582,28,0.0028182245185533117,0.0,6
720575941499544715,629,0.0028182245185533117,0.0,6
720575941492446078,40,0.0028182245185533117,0.0,6
720575941588652940,36,0.0028182245185533117,0.0,6
720575941604946797,61,0.0028182245185533117,0.0,6
720575941575696217,48,0.0028182245185533117,0.0,6
720575941524021069,25,0.0028182245185533117,0.0,6
