dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941507568709,DNa16,720575941528944568,720575941565378919,iii3,steering,10,41,410
720575941507568709,DNa16,720575941574155003,720575941472734048,DVM1A,power,25,13,325
720575941507568709,DNa16,720575941574155003,720575941474574132,b3,steering,25,13,325
720575941507568709,DNa16,720575941574155003,720575941603635190,DVM1A,power,25,12,300
720575941507568709,DNa16,720575941574155003,720575941472734048,DVM1A,power,13,13,169
720575941507568709,DNa16,720575941574155003,720575941474574132,b3,steering,13,13,169
720575941507568709,DNa16,720575941574155003,720575941603635190,DVM1A,power,13,12,156
720575941507568709,DNa16,720575941609001034,720575941513173763,hg4,steering,11,23,253
720575941507568709,DNa16,720575941609001034,720575941513173763,hg4,steering,23,23,529
720575941612044518,DNa04,720575941430842209,720575941458961604,iii3,steering,14,12,168
720575941612044518,DNa04,720575941430842209,720575941549822781,b1,steering,14,32,448
720575941612044518,DNa04,720575941430842209,720575941655597785,b2,steering,14,31,434
720575941612044518,DNa04,720575941459514512,720575941468897856,i1,steering,23,14,322
720575941612044518,DNa04,720575941459514512,720575941468897856,i1,steering,23,18,414
720575941612044518,DNa04,720575941459514512,720575941474574132,b3,steering,23,12,276
720575941612044518,DNa04,720575941459514512,720575941474574132,b3,steering,23,30,690
720575941612044518,DNa04,720575941459514512,720575941474574132,b3,steering,23,25,575
720575941612044518,DNa04,720575941464073558,720575941468897856,i1,steering,12,19,228
720575941612044518,DNa04,720575941464073558,720575941468897856,i1,steering,12,15,180
720575941612044518,DNa04,720575941464073558,720575941468897856,i1,steering,12,23,276
720575941612044518,DNa04,720575941464073558,720575941474574132,b3,steering,12,13,156
720575941612044518,DNa04,720575941464073558,720575941474574132,b3,steering,12,23,276
720575941612044518,DNa04,720575941464073558,720575941474574132,b3,steering,12,27,324
720575941612044518,DNa04,720575941464073558,720575941468897856,i1,steering,12,19,228
720575941612044518,DNa04,720575941464073558,720575941468897856,i1,steering,12,15,180
720575941612044518,DNa04,720575941464073558,720575941468897856,i1,steering,12,23,276
720575941612044518,DNa04,720575941464073558,720575941474574132,b3,steering,12,13,156
720575941612044518,DNa04,720575941464073558,720575941474574132,b3,steering,12,23,276
720575941612044518,DNa04,720575941464073558,720575941474574132,b3,steering,12,27,324
720575941612044518,DNa04,720575941465484566,720575941655597785,b2,steering,33,37,1221
