dn_id,dn_name,strategy,direct_mn_targets,direct_synapses,indirect_in_targets,indirect_synapses,total_targets,total_synapses,direct_fraction
720575941613418716,DNnt020,indirect_only,0,0,2,31,2,31,0.0
720575941562981522,DNxn114,indirect_only,0,0,2,31,2,31,0.0
720575941592644054,DNge091,indirect_only,0,0,1,31,1,31,0.0
720575941510621968,DNxl127,indirect_only,0,0,3,31,3,31,0.0
720575941595590951,DNae005,indirect_only,0,0,1,31,1,31,0.0
720575941658936144,DNp69,indirect_only,0,0,2,31,2,31,0.0
720575941486587714,DNp17,indirect_only,0,0,2,31,2,31,0.0
720575941628237625,DNxl111,indirect_only,0,0,2,31,2,31,0.0
720575941700316378,DNg02,direct_only,3,31,0,0,3,31,1.0
720575941633911227,DNpe004,indirect_only,0,0,3,31,3,31,0.0
720575941634269371,DNg59,indirect_only,0,0,1,31,1,31,0.0
720575941433415200,DNp60,direct_only,2,31,0,0,2,31,1.0
720575941528849848,DNg08,both,1,21,1,10,2,31,0.6774193548387096
720575941558189171,DNg07,indirect_only,0,0,2,30,2,30,0.0
720575941409225902,DNxn181,indirect_only,0,0,2,30,2,30,0.0
720575941460902157,DNg07,indirect_only,0,0,2,30,2,30,0.0
720575941456625567,DNg90,indirect_only,0,0,1,30,1,30,0.0
720575941507241495,DNfl026,indirect_only,0,0,1,29,1,29,0.0
720575941574140169,DNxl103,indirect_only,0,0,1,29,1,29,0.0
720575941515917667,DNg07,indirect_only,0,0,2,29,2,29,0.0
720575941481985475,DNp69,indirect_only,0,0,2,29,2,29,0.0
720575941513096012,DNnt015,indirect_only,0,0,1,28,1,28,0.0
720575941561743872,DNg37,indirect_only,0,0,2,28,2,28,0.0
720575941485358733,DNxn114,indirect_only,0,0,2,28,2,28,0.0
720575941515152195,DNpe006,indirect_only,0,0,2,28,2,28,0.0
720575941441974479,DNg02,both,1,16,1,12,2,28,0.5714285714285714
720575941439563583,DNge053,indirect_only,0,0,2,28,2,28,0.0
720575941518404974,DNpe039,indirect_only,0,0,2,28,2,28,0.0
720575941447973140,DNb02,indirect_only,0,0,2,27,2,27,0.0
720575941578499673,DNge118,indirect_only,0,0,2,27,2,27,0.0
720575941438445330,DNpe032,indirect_only,0,0,1,27,1,27,0.0
720575941477419828,DNxn152,indirect_only,0,0,2,26,2,26,0.0
720575941436259602,DNut047,both,1,12,1,14,2,26,0.46153846153846156
720575941578692697,DNp09,direct_only,1,26,0,0,1,26,1.0
720575941536003314,DNg10,indirect_only,0,0,1,26,1,26,0.0
720575941535862506,DNa01,indirect_only,0,0,2,26,2,26,0.0
720575941497322880,DNp10,indirect_only,0,0,2,25,2,25,0.0
720575941631028962,DNge063,indirect_only,0,0,1,25,1,25,0.0
720575941604585662,DNg106,indirect_only,0,0,1,24,1,24,0.0
720575941526954498,DNut051,both,1,10,1,14,2,24,0.4166666666666667
720575941408639535,DNge148,direct_only,2,24,0,0,2,24,1.0
720575941477915700,DNp48,indirect_only,0,0,2,24,2,24,0.0
720575941658941264,DNxl080,indirect_only,0,0,2,24,2,24,0.0
720575941546668988,DNpe053,direct_only,2,24,0,0,2,24,1.0
720575941477099313,DNge076,indirect_only,0,0,1,24,1,24,0.0
720575941514358675,DNg51,indirect_only,0,0,2,23,2,23,0.0
720575941566180199,DNg89,indirect_only,0,0,2,23,2,23,0.0
720575941619883135,DNpe031,indirect_only,0,0,2,23,2,23,0.0
720575941518951091,DNg36,indirect_only,0,0,2,23,2,23,0.0
720575941552142727,DNa03,indirect_only,0,0,2,23,2,23,0.0
720575941439143954,DNg08,indirect_only,0,0,2,22,2,22,0.0
720575941599049152,DNut042,indirect_only,0,0,2,22,2,22,0.0
720575941411472555,DNb09,indirect_only,0,0,1,22,1,22,0.0
720575941626256266,DNxl115,indirect_only,0,0,2,22,2,22,0.0
720575941441643867,DNg02,both,1,12,1,10,2,22,0.5454545454545454
720575941632594592,DNa07,direct_only,1,22,0,0,1,22,1.0
720575941431097737,DNxl130,both,1,10,1,12,2,22,0.45454545454545453
720575941468862583,DNxn117,indirect_only,0,0,2,22,2,22,0.0
720575941598693824,DNp17,indirect_only,0,0,1,22,1,22,0.0
720575941480799395,DNg105,indirect_only,0,0,2,21,2,21,0.0
720575941407841071,DNp07,indirect_only,0,0,2,21,2,21,0.0
720575941610917037,DNxl113,indirect_only,0,0,1,21,1,21,0.0
720575941561392173,DNg39,indirect_only,0,0,1,21,1,21,0.0
720575941526723609,DNnt012,indirect_only,0,0,1,21,1,21,0.0
720575941572713886,DNg97,indirect_only,0,0,1,21,1,21,0.0
720575941480780451,DNg50,direct_only,1,20,0,0,1,20,1.0
720575941470584695,DNp53,indirect_only,0,0,1,20,1,20,0.0
720575941632059372,DNge006,indirect_only,0,0,1,20,1,20,0.0
720575941449527477,DNge131,indirect_only,0,0,1,20,1,20,0.0
720575941624816124,DNg08,indirect_only,0,0,2,20,2,20,0.0
720575941480954019,DNxn187,indirect_only,0,0,2,20,2,20,0.0
720575941549506932,DNb03,indirect_only,0,0,1,20,1,20,0.0
720575941550196797,DNxl082,direct_only,1,20,0,0,1,20,1.0
720575941556195300,DNde001,indirect_only,0,0,1,19,1,19,0.0
720575941461320644,DNpe054,indirect_only,0,0,1,19,1,19,0.0
720575941579616081,DNp16,indirect_only,0,0,1,19,1,19,0.0
720575941537638627,DNa14,indirect_only,0,0,1,19,1,19,0.0
720575941476378164,DNg10,direct_only,1,18,0,0,1,18,1.0
720575941650178289,DNg45,indirect_only,0,0,1,18,1,18,0.0
720575941625993371,DNg06,indirect_only,0,0,1,17,1,17,0.0
720575941555637331,DNxn131,indirect_only,0,0,1,17,1,17,0.0
720575941611136476,DNg89,indirect_only,0,0,1,17,1,17,0.0
720575941563866536,DNg08,indirect_only,0,0,1,17,1,17,0.0
720575941652728049,DNg74,indirect_only,0,0,1,17,1,17,0.0
720575941596431749,DNut042,indirect_only,0,0,1,17,1,17,0.0
720575941590576424,DNge091,indirect_only,0,0,1,16,1,16,0.0
720575941534881368,DNb08,indirect_only,0,0,1,16,1,16,0.0
720575941430975329,DNut046,indirect_only,0,0,1,16,1,16,0.0
720575941394119830,DNp42,indirect_only,0,0,1,16,1,16,0.0
720575941569801586,DNpe042,indirect_only,0,0,1,15,1,15,0.0
720575941542898205,DNd04,indirect_only,0,0,1,15,1,15,0.0
720575941498998395,DNg02,indirect_only,0,0,1,15,1,15,0.0
720575941588874892,DNht001,indirect_only,0,0,1,15,1,15,0.0
720575941515922169,DNpe003,indirect_only,0,0,1,15,1,15,0.0
720575941500700139,DNg01,indirect_only,0,0,1,15,1,15,0.0
720575941513942106,DNxn117,indirect_only,0,0,1,15,1,15,0.0
720575941536231105,DNxn144,indirect_only,0,0,1,15,1,15,0.0
720575941390285462,DNg05,direct_only,1,15,0,0,1,15,1.0
720575941596182129,DNp66,indirect_only,0,0,1,15,1,15,0.0
720575941512837452,DNge091,indirect_only,0,0,1,14,1,14,0.0
720575941447838996,DNp72,indirect_only,0,0,1,14,1,14,0.0
720575941559950863,DNg10,indirect_only,0,0,1,14,1,14,0.0
720575941489036494,DNxn139,indirect_only,0,0,1,14,1,14,0.0
720575941504679106,DNxl117,indirect_only,0,0,1,14,1,14,0.0
720575941515548515,DNge046,indirect_only,0,0,1,14,1,14,0.0
720575941492684208,DNpe054,indirect_only,0,0,1,14,1,14,0.0
720575941436052768,DNut043,indirect_only,0,0,1,14,1,14,0.0
720575941553985875,DNg02,direct_only,1,14,0,0,1,14,1.0
720575941631020192,DNnt010,indirect_only,0,0,1,14,1,14,0.0
720575941494960254,DNg79,indirect_only,0,0,1,14,1,14,0.0
720575941439285036,DNg08,direct_only,1,14,0,0,1,14,1.0
720575941564432786,DNxl080,indirect_only,0,0,1,14,1,14,0.0
720575941477326900,DNg19,indirect_only,0,0,1,14,1,14,0.0
720575941574375272,DNg07,indirect_only,0,0,1,14,1,14,0.0
720575941701672666,DNp72,indirect_only,0,0,1,13,1,13,0.0
720575941401766435,DNbe007,indirect_only,0,0,1,13,1,13,0.0
720575941606629485,720575941606629485,indirect_only,0,0,1,13,1,13,0.0
720575941470084317,DNpe054,indirect_only,0,0,1,13,1,13,0.0
720575941477443358,DNp47,indirect_only,0,0,1,13,1,13,0.0
720575941543962629,DNg05,direct_only,1,13,0,0,1,13,1.0
720575941586653062,DNp37,indirect_only,0,0,1,13,1,13,0.0
720575941626299530,DNg10,direct_only,1,13,0,0,1,13,1.0
720575941439029951,DNg02,direct_only,1,13,0,0,1,13,1.0
720575941526946050,DNxn173,indirect_only,0,0,1,13,1,13,0.0
720575941612321382,DNa07,direct_only,1,13,0,0,1,13,1.0
720575941526676045,DNg50,direct_only,1,13,0,0,1,13,1.0
720575941439622111,DNit007,indirect_only,0,0,1,13,1,13,0.0
720575941654376916,DNg106,indirect_only,0,0,1,13,1,13,0.0
720575941560549491,DNg07,indirect_only,0,0,1,12,1,12,0.0
720575941467350237,DNg79,indirect_only,0,0,1,12,1,12,0.0
720575941469775069,DNxn181,indirect_only,0,0,1,12,1,12,0.0
720575941557943155,DNg37,indirect_only,0,0,1,12,1,12,0.0
720575941558704164,DNp12,indirect_only,0,0,1,12,1,12,0.0
720575941546667452,DNp60,indirect_only,0,0,1,12,1,12,0.0
720575941495377280,DNut042,indirect_only,0,0,1,12,1,12,0.0
720575941547718461,DNxn106,indirect_only,0,0,1,12,1,12,0.0
720575941546634428,DNp23,indirect_only,0,0,1,12,1,12,0.0
720575941662695992,DNg65,indirect_only,0,0,1,12,1,12,0.0
720575941568946938,DNg18,indirect_only,0,0,1,12,1,12,0.0
720575941542610437,DNp23,indirect_only,0,0,1,12,1,12,0.0
720575941513116762,DNg07,indirect_only,0,0,1,12,1,12,0.0
720575941533578177,DNge085,indirect_only,0,0,1,12,1,12,0.0
720575941480554370,DNg79,indirect_only,0,0,1,12,1,12,0.0
720575941394131094,DNg26,direct_only,1,12,0,0,1,12,1.0
720575941584708486,DNnt011,indirect_only,0,0,1,12,1,12,0.0
720575941618655615,DNxl075,indirect_only,0,0,1,12,1,12,0.0
720575941596600709,DNge116,indirect_only,0,0,1,11,1,11,0.0
720575941495998843,DNg41,indirect_only,0,0,1,11,1,11,0.0
720575941596748933,DNbe002,indirect_only,0,0,1,11,1,11,0.0
720575941415224348,DNg36,indirect_only,0,0,1,11,1,11,0.0
720575941559176942,DNb04,indirect_only,0,0,1,11,1,11,0.0
720575941539264242,DNd04,indirect_only,0,0,1,11,1,11,0.0
720575941429113775,DNg10,direct_only,1,11,0,0,1,11,1.0
720575941598325148,DNge094,indirect_only,0,0,1,11,1,11,0.0
720575941469757405,DNg106,indirect_only,0,0,1,11,1,11,0.0
